ID: 1 TASK someTask_1 осталась в состоянии: NEW и не была просмотрена. Время старта задачи: 0001-01-01 01:01:00. Продолжительность: 0 мин.

ID: 2 EPIC someEpic_1 осталась в состоянии: NEW и не была просмотрена. Время старта задачи: 0001-01-01 01:01:00. Продолжительность: 0 мин.

ID: 3 SUBTASK someSubTask_1 осталась в состоянии: NEW и не была просмотрена. Время старта задачи: 0001-01-01 01:01:00. Продолжительность: 0 мин.

ID: 4 EPIC someEpic_2 осталась в состоянии: NEW и не была просмотрена. Время старта задачи: 0001-01-01 01:01:00. Продолжительность: 0 мин.

ID: 5 SUBTASK someSubTask_2 осталась в состоянии: NEW и не была просмотрена. Время старта задачи: 0001-01-01 01:01:00. Продолжительность: 0 мин.

